,meta_group,ATP5F1A,PRDX1,PROZ,BHMT,DCP1B,TPM3,PAM,RAD23B,GSPT2,ARPC5,KRT7,CORO1C,NDN,CALD1
44,1,2077.368667,16480.17135,7012.072035,29713.22117,3726.354221,66484.09694,6040.361494,10391.25566,4201.75122,2696.549833,2278.13856,8473.867015,93986.49645,17416.50401
45,1,665.9002556,3727.977323,11093.98713,16225.01188,1740.395481,24284.03617,3056.131591,3608.110243,1777.133457,2075.674146,626.2765237,7711.628395,55144.66489,4366.534258
46,1,735.3586938,22511.32052,44308.18847,56133.89404,2832.313867,47207.08119,4384.094039,7648.200325,6294.047839,3472.809776,744.3407287,5665.93632,195333.6787,15020.57767
47,1,1028.076093,27461.8614,23714.86797,65145.31817,1564.90582,25108.99054,4408.671567,8000.215176,5173.50329,2077.845669,2750.391687,1660.636736,66588.90267,6230.955442
48,1,2423.750928,31001.53265,27679.55389,86940.511,3236.652062,52729.54294,5723.772759,10368.47455,6556.428666,3690.696102,2637.931309,2190.717056,154835.9488,17493.52387
49,1,8229.865929,6609.210108,25488.73094,97258.29421,2251.006544,27840.49027,4075.751328,645.8511506,1128.086676,5224.505241,2071.890491,848.2178445,1134.11462,4670.795521
50,1,1395.935437,42269.16701,27967.46818,223979.1827,3414.665285,84927.66378,6454.497987,17188.03532,11431.91934,5200.82059,2409.014826,3835.716453,197002.797,14097.96611
51,1,30556.98587,11352.76526,13264.79603,18054.05331,466.6257391,42943.35404,5586.76529,3137.212096,342.3753319,39.73587687,24624.13144,1680.863292,5545.843379,113.3926242
52,1,103.9635878,121.6106161,627.0452211,766.8088567,198.9040469,2176.711692,253.6895626,3196.670381,595.6830251,23.26892108,805.0786813,619.971429,2075.487872,503.8510591
53,1,2550.405144,422.4446108,29503.39673,46884.78507,3754.305219,39760.71408,4547.712254,11138.24131,4571.879372,1114.841026,3442.768201,1958.289242,230594.0348,6563.888783
54,1,78.59613406,1133.830964,539.059122,2020.349114,785.52184,8720.249452,273.439832,6141.342077,439.8524141,87.33482904,262.7037606,1554.009737,4118.55052,1798.071764
55,1,1215.047595,11293.27446,5116.389083,8412.807766,923.8288537,17937.78631,1911.396438,8749.906064,4347.681209,1132.791462,23662.20907,5148.553388,10565.70096,2436.573406
56,1,6964.6532,90605.76939,34813.8764,69283.21765,2490.143513,42758.71839,8993.297023,34620.68814,24294.02669,13225.4678,116542.6816,2572.766815,109278.9774,7891.504544
57,1,6290.562974,10175.00725,46377.41583,73679.73865,8850.118145,118499.4312,6968.527022,0,4001.756161,12581.19585,3462.389842,5203.448021,5712.976006,846.859678
