ATP5F1A,HSP90AA1,PRDX1,ST13,PROZ,CBR1,PRDX5,BHMT,DCP1B,ANXA4,HSP90AB1,CNDP2,TPM3,PAM,HSPB1,RAD23B,GSPT2,ARPC5,KRT8,KRT7,CORO1C,NDN,CALD1
777.9048352,22197.55821,3588.864067,2931.285606,8959.627086,4601.046879,4764.846134,38773.2,274.9428084,1145.236928,21860.00468,9484.326532,35150.33825,2412.664765,16212.73175,0,0,142.5135447,10204.99428,0,1034.206373,863.6269705,280.625083
806.7817447,103094.0516,7276.854952,3534.472405,50434.02856,9780.816222,7523.183272,48809.16561,271.1871411,8824.881549,100108.7331,19331.12337,36386.53465,3351.421085,26022.66608,2962.719516,180.7914274,0,10119.80015,1841.812667,908.4769226,7631.658129,716.386031
0,10335.33767,3449.687474,458.1002839,28528.20362,2265.635407,1608.156343,12571.79056,1034.323415,1087.842377,10335.33767,3513.271003,6091.239164,3878.731334,4217.144817,0,1512.720307,1281.441391,0,0,462.341398,5615.454186,0
635.5584929,24431.7233,2837.280744,4082.770823,6769.793172,2274.815598,5242.008427,225680.8446,370.8425358,3849.71552,23438.05809,4325.08506,22610.15504,1270.935661,10561.41394,1533.329884,375.2081706,4503.507704,634.3167654,147.2423223,986.9892533,3344.717839,1523.54972
0,12142.54188,9931.753546,1040.920686,14907.2433,4427.185954,5382.283415,89745.80519,2898.887331,877.3909278,11158.51719,2707.27982,54259.23832,2922.570539,7537.325601,338.8503341,1071.753335,1493.600171,8028.674713,432.5851035,1298.899031,17054.31813,4209.431189
3340.116516,13794.99047,340.9982851,1624.445187,16108.78433,2456.865003,1417.286007,86922.5145,1733.267383,1823.532249,12917.12072,19552.28381,18397.97158,887.8178574,35383.19551,431.5561497,0,2668.769253,1734.442635,0,232.9251346,371.183154,256.1648276
3982.912727,36511.82372,30725.50343,1833.901833,9263.754323,8975.754108,8162.972498,202747.3972,3218.896356,176.0608006,33012.09428,5492.755928,58329.11711,1231.323813,17495.02794,0,1381.355686,2343.556574,15348.31635,745.7011743,648.2096838,3619.247387,2493.346776
460.2073383,9912.115742,10477.83332,1288.512403,33655.03574,7041.026436,9909.134572,49799.90333,4110.944149,2087.532558,9184.095855,4158.855273,70135.40125,3612.097574,7954.142874,0,1034.53298,2312.594213,1723.165254,191.5444132,1615.12203,5919.795287,14479.44185
1364.501322,27222.28179,27559.0663,1655.590139,29725.25017,8349.959394,8869.44453,452690.3499,3828.57165,1827.639895,25736.5329,11890.92566,49859.5511,2358.349902,20948.44808,1692.706281,1559.144034,4209.221672,15282.06699,834.4461496,2375.2741,23793.94792,8579.691346
1241.624912,3329.687893,0,0,6141.58919,1132.194929,0,21814.9845,1718.051167,0,2888.368941,1535.867102,26515.73072,756.5597872,1148.182678,0,0,763.1297499,2146.402731,586.9515721,338.3665073,938.9781391,1565.088007
466.6561565,3901.887222,0,905.4193415,30159.35914,2667.03191,3378.422035,88079.69262,2723.737044,1108.140294,3498.666716,4061.579794,34187.03295,2646.519334,9027.809974,0,570.4234607,942.805306,3901.954483,552.1845674,1084.749187,3924.054497,3061.588755
467.5930774,5026.117212,2654.196782,615.123376,4423.963187,2393.398899,1115.779829,28243.19371,0,275.068352,4565.982245,1706.045471,7443.415615,791.4808729,9234.619829,774.7707569,939.0673352,504.2164673,3595.82975,0,621.0445288,2281.519017,1404.306877
1354.616668,20699.20795,16079.4074,6044.476335,108146.2149,6860.301094,30340.60783,94180.96172,3395.122424,3695.014025,18731.70928,8641.317697,42314.73019,14380.69666,28519.96097,5861.291315,2163.595607,97.38385494,34590.10419,3262.855527,2838.744718,66894.68802,353.2356118
5127.97669,37695.80769,2882.367169,4106.824952,117693.4307,4422.673153,17815.28699,14120.22005,1620.821642,4008.83227,32578.31166,9808.063055,21705.26218,5947.326636,88986.09332,8679.560028,0,230.0545053,25321.13849,2451.338739,2109.762651,32783.44562,229.0282175
7224.297783,23423.40672,4261.072889,1534.083546,66331.03762,2980.656472,9395.854242,4818.233393,494.145835,2895.906837,20629.59604,1665.342356,36838.95927,3116.97551,34236.26279,2826.492027,211.5362447,70.73658716,87494.45916,16632.43832,746.7007947,16392.30609,211.8730031
831.5961666,31732.20188,13825.60131,9301.847205,10197.09855,11008.91417,15889.95452,105826.8843,4397.837912,3738.566573,30080.40435,9846.299225,59655.58578,3933.341906,27648.82905,0,729.9456028,3489.815124,2854.677198,0,3325.513407,2600.062133,6383.827592
1828.943075,50223.30108,35629.1203,2775.460766,74385.82371,2893.565129,23230.14314,65231.75871,2134.178759,842.7463811,45502.26683,6263.669194,28562.7318,16147.20222,53832.88187,5788.442373,15160.30722,5204.100425,29731.20377,3928.476512,264.03505,51056.60433,550.4186519
974.1717344,82474.90492,21088.10071,7300.97305,76591.82326,6866.479274,14467.54709,251088.1875,11193.54899,5387.258803,77798.88912,18385.47795,126035.556,6127.570424,76907.17252,2768.107277,2449.829324,3715.188289,20589.51513,1028.396895,2781.083223,47202.00038,13880.56334
2158.38039,45004.51594,1926.069101,2475.908878,22517.175,2300.412648,4629.305954,84530.61274,3943.884139,2867.664345,43980.19296,11848.63804,44082.8301,2321.439396,19815.76576,305.0373368,760.8722807,1744.350099,18869.31371,1214.057311,1883.174517,3751.691986,2623.570846
10743.24404,67756.64969,5414.58482,4985.783995,8698.712516,5323.104344,22609.19884,104634.6032,454.6982437,3719.110942,63989.65814,16982.66689,17685.11035,733.8879429,105601.6829,0,1170.07538,10316.4511,133257.5701,5919.133136,0,824.7704879,774.3628511
1125.900552,29752.03902,421.7338754,1210.92536,23393.93214,2197.412124,3939.235963,17649.25272,155.3566999,486.1869347,29266.07334,2755.001034,22151.02373,834.3837969,14802.00702,709.9586509,892.2436021,356.5208815,24966.1023,2157.973538,1071.335825,22211.26462,741.5891351
16810.29497,6888.001716,0,1969.534354,59925.01812,8995.578827,14830.60248,60530.21806,3140.220781,480.0091425,6888.001716,14703.1403,58326.09905,7314.526552,31525.97654,647.0560251,2656.94264,3215.253019,18804.05548,1782.752744,1142.958081,13194.57486,287.9416922
2521.305821,3392.545141,610.570777,922.6107299,14073.65834,1754.443348,2712.666892,24879.0894,0,2147.034238,3088.856632,2898.425067,3417.946979,0,11791.39885,445.4009174,199.5528425,303.8972954,4425.109909,882.2692449,876.8064792,3680.227188,400.0876484
2235.584623,41564.62083,18066.28627,1449.532789,212636.7277,4274.643174,59077.35801,63066.40894,2083.429145,5865.05753,35838.85017,5458.808393,60122.65682,12052.11708,152055.1413,20408.43618,781.0746673,0,14379.72086,2095.712403,3691.476681,161005.8882,0
2622.879348,148992.8905,8513.662292,3909.023997,3345.178393,9140.621957,2677.297478,28962.08178,1308.412327,5887.199156,142311.6965,13013.27096,12772.49864,0,74551.30523,0,877.4550426,4901.524025,10032.84801,734.3534808,875.2876835,0,0
5044.484711,220952.2401,0,4317.773466,16198.05058,4477.500052,11561.07254,16052.00373,2607.385621,3450.160316,212328.6727,17628.46143,54056.59698,649.0871923,162698.6866,8069.044095,6511.546315,4776.960589,155906.2241,30495.03593,2123.686181,4570.321843,729.1344731
15658.29124,12001.74276,1112.843233,7113.09404,1874.121129,4868.647727,6370.057977,99115.65052,1536.012824,1809.330638,11201.71424,21317.40491,22144.25568,425.6885343,48557.98575,1234.575457,337.6404474,2314.183506,14227.60563,667.372233,642.2934197,3985.575546,356.2697351
8970.659593,54700.34991,3670.57152,6198.780805,31894.42181,8848.378182,5551.565076,204444.3399,4641.895847,4677.345475,51048.65865,26076.14594,41414.16664,2190.789188,107889.9237,3017.541155,717.7991874,3562.579414,50259.10096,5663.776366,742.4303832,3796.270678,787.7043698
2949.531459,45577.60683,619.0850272,1507.708443,5902.46761,2039.92842,4639.030511,8583.690667,1327.336759,2744.347962,43635.56145,4974.696517,35318.61437,830.4891721,21148.31629,1847.58672,2190.383819,714.214122,106141.746,11328.49604,1220.752696,2835.339929,204.3102573
1211.031143,65877.77389,188.9039405,1042.141297,4073.093325,1287.795458,776.49177,2742.959564,1569.478921,161.4841378,61953.04973,9042.67033,31215.24151,1945.963444,44853.85321,2736.723561,4393.856165,600.0319948,59140.06084,7523.867886,5579.405962,202.4563499,370.3469543
6643.038094,44726.40764,5799.826983,6211.841085,22824.01773,10566.04217,14170.63879,86447.52712,2736.081834,4963.809088,43382.48448,13668.95155,44319.74878,2296.519344,37966.36169,0,1198.456922,2230.267263,19506.3292,2535.910295,2339.681723,3687.999581,2361.732244
1218.795154,4626.659983,3526.278881,2680.800634,2440.248939,1269.26238,2530.965366,82738.03532,3876.597092,573.3864153,3476.816011,3589.261619,45717.11543,1512.433582,38087.17337,446.5441568,522.459148,2312.10932,14919.64956,735.3959799,3267.189673,4970.976993,4541.949764
1666.922632,24357.63159,15898.18281,4307.563066,128680.5526,9456.665047,11819.72982,85823.86519,0,9703.39897,22163.46206,17960.17345,3695.134222,6335.774656,67402.42051,1960.653492,1796.509078,4987.0046,5918.872246,0,2852.126653,20305.61437,0
526.8061442,13493.65728,19307.5431,6447.559455,17050.39063,7968.045818,20454.26992,158819.3982,1379.749712,1532.983098,12440.62734,6331.22393,12303.89268,4912.090399,30080.45332,1098.878026,929.2241539,4232.643889,5022.269203,101.5342679,1173.803242,63790.26631,324.8934469
746.9019853,9857.051429,4517.173256,4866.460759,35108.71437,3512.031227,3417.595738,33099.68665,183.6782642,3210.102966,8677.75973,6593.071766,1937.68164,5777.903017,25271.28325,1321.800079,604.141662,2080.223035,4964.303428,236.203408,1350.392381,5996.862084,262.7760177
